title,content,author,dynasty,scope
子衿,"青青子衿，悠悠我心。纵我不往，子宁不嗣音？
青青子佩，悠悠我思。纵我不往，子宁不来？
挑兮达兮，在城阙兮。一日不见，如三月兮。",佚名,先秦,180首诗词
越人歌,"今夕何夕兮，搴舟中流。
今日何日兮，得与王子同舟。
蒙羞被好兮，不訾诟耻。
心几烦而不绝兮，得知王子。
山有木兮木有枝，心悦君兮君不知。",佚名,先秦,180首诗词
木瓜,"投我以木瓜，报之以琼琚。匪报也，永以为好也！
投我以木桃，报之以琼瑶。匪报也，永以为好也！
投我以木李，报之以琼玖。匪报也，永以为好也！",佚名,先秦,180首诗词
采葛,"彼采葛兮，一日不见，如三月兮！
彼采萧兮，一日不见，如三秋兮！
彼采艾兮！一日不见，如三岁兮！",佚名,先秦,180首诗词
国风·郑风·野有蔓草,"野有蔓草，零露漙兮。有美一人，清扬婉兮。邂逅相遇，适我愿兮。
野有蔓草，零露瀼瀼。有美一人，婉如清扬。邂逅相遇，与子偕臧。",佚名,先秦,180首诗词
诗经·陈风·月出,"月出皎兮，佼人僚兮。舒窈纠兮，劳心悄兮。
月出皓兮，佼人懰兮。舒忧受兮，劳心慅兮。
月出照兮，佼人燎兮。舒夭绍兮，劳心惨兮。",佚名,先秦,180首诗词
长歌行,"青青园中葵，朝露待日晞。
阳春布德泽，万物生光辉。
常恐秋节至，焜黄华叶衰。
百川东到海，何时复西归？
少壮不努力，老大徒伤悲！",佚名,两汉,180首诗词
凤求凰,"凤兮凤兮归故乡，遨游四海求其凰。
时未遇兮无所将，何悟今兮升斯堂！
有艳淑女在闺房，室迩人遐毒我肠。
何缘交颈为鸳鸯，胡颉颃兮共翱翔！
凰兮凰兮从我栖，得托孳尾永为妃。
交情通意心和谐，中夜相从知者谁？
双翼俱起翻高飞，无感我思使余悲。",司马相如,两汉,180首诗词
白头吟,"皑如山上雪，皎若云间月。
闻君有两意，故来相决绝。
今日斗酒会，明旦沟水头。
躞蹀御沟上，沟水东西流。
凄凄复凄凄，嫁娶不须啼。
愿得一心人，白头不相离。
竹竿何袅袅，鱼尾何簁簁！
男儿重意气，何用钱刀为！",卓文君,两汉,180首诗词
垓下歌,"力拔山兮气盖世。时不利兮骓不逝。
骓不逝兮可奈何！虞兮虞兮奈若何！",项羽,两汉,180首诗词
大风歌,"大风起兮云飞扬，
威加海内兮归故乡，
安得猛士兮守四方！",刘邦,两汉,180首诗词
江南,"江南可采莲，莲叶何田田，鱼戏莲叶间。
鱼戏莲叶东，鱼戏莲叶西，鱼戏莲叶南，鱼戏莲叶北。",佚名,两汉,180首诗词
留别妻,"结发为夫妻，恩爱两不疑。
欢娱在今夕，嬿婉及良时。
征夫怀远路，起视夜何其？
参辰皆已没，去去从此辞。
行役在战场，相见未有期。
握手一长叹，泪为生别滋。
努力爱春华，莫忘欢乐时。
生当复来归，死当长相思。",苏武,两汉,180首诗词
上邪,"上邪，我欲与君相知，长命无绝衰。

山无陵，江水为竭。冬雷震震，夏雨雪。天地合，乃敢与君绝。",佚名,两汉,180首诗词
李延年歌,"北方有佳人，绝世而独立。
一顾倾人城，再顾倾人国。
宁不知倾城与倾国？佳人难再得。",李延年,两汉,180首诗词
